Date,Cases,Average_7Day_Cases,Deaths
15-Mar,1237,431,7
16-Mar,755,510,25
17-Mar,2797,867,13
18-Mar,3419,1315,31
19-Mar,4777,1939,40
20-Mar,3528,2408,38
21-Mar,5836,3193,53
22-Mar,8821,4275,107
23-Mar,10934,5734,139
24-Mar,10115,6778,191
25-Mar,13987,8281,247
26-Mar,16916,10022,255
27-Mar,17965,12080,359
28-Mar,19332,14011,518
29-Mar,18251,15358,267
30-Mar,22635,17027,448
31-Mar,22562,18808,722
1-Apr,27043,20673,974
2-Apr,26135,21991,921
3-Apr,34864,24403,1026
4-Apr,30683,26027,1320
5-Apr,26065,27231,1435
6-Apr,43438,30200,1245
7-Apr,21597,31551,1973
8-Apr,31534,32194,1918
9-Apr,31705,32992,1790
10-Apr,33251,32759,2273
11-Apr,33288,33130,1704
12-Apr,29145,33484,1578
13-Apr,24156,30728,569
14-Apr,26385,29928,4528
15-Apr,27158,29315,2378
16-Apr,29164,28950,2231
17-Apr,29002,28343,1842
18-Apr,29916,27857,1629
19-Apr,25995,27411,2514
20-Apr,29468,28171,1779
21-Apr,26490,28191,2683
22-Apr,25858,27998,2019
23-Apr,37144,29130,1846
24-Apr,29873,29268,2786
25-Apr,33161,29728,2101
26-Apr,29256,30205,1170
27-Apr,23371,29354,1368
28-Apr,23901,28985,2150
29-Apr,25512,28932,2958
30-Apr,31787,28163,2128
1-May,30369,28227,1846
2-May,29794,27750,1765
3-May,29763,27815,1229
4-May,19138,27203,976
5-May,22303,26963,2478
6-May,23366,26656,2768
7-May,30861,26531,2098
8-May,25996,25902,1732
9-May,26660,25458,1597
10-May,23792,24615,965
11-May,18106,24492,987
12-May,21467,24367,1637
13-May,20869,24014,1777
14-May,27191,23484,1858
15-May,22977,23087,1529
16-May,31967,23858,1284
17-May,13284,23063,822
18-May,24481,23960,1027
19-May,23405,24265,1504
20-May,22860,24551,1581
21-May,20522,24277,1322
22-May,24268,24428,1340
23-May,26229,23590,1113
24-May,15342,23842,627
25-May,24958,23903,622
26-May,16429,22879,660
27-May,19680,22431,1357
28-May,21304,21959,1184
29-May,18123,21761,1319
30-May,23553,21379,843
31-May,26177,22249,589
1-Jun,14790,21468,699
2-Jun,24955,22681,1272
3-Jun,14676,22648,985
4-Jun,20555,22437,987
5-Jun,29034,23314,1104
6-Jun,29214,24127,794
7-Jun,17919,22943,419
8-Jun,17598,22674,548
9-Jun,17376,21590,949
10-Jun,20486,21744,910
11-Jun,21744,21916,894
12-Jun,22317,21621,761
13-Jun,25468,21090,731
14-Jun,21957,21660,327
15-Jun,18577,21801,409
16-Jun,28392,23379,751
17-Jun,22834,23715,779
18-Jun,27828,24585,767
19-Jun,32218,25347,794
20-Jun,32411,26337,562
21-Jun,27616,27145,268
22-Jun,26657,28297,351
23-Jun,34313,29141,820
24-Jun,37667,31264,748
25-Jun,40588,33087,614
26-Jun,44602,34835,627
27-Jun,44703,36594,2387
28-Jun,41390,38561,255
29-Jun,35664,39853,328
30-Jun,43644,41189,1303
1-Jul,54357,43568,690
2-Jul,52730,45309,706
3-Jul,57718,47180,555
4-Jul,52228,48254,261
5-Jul,44361,48678,226
6-Jul,46329,50196,377
7-Jul,50304,51148,1187
8-Jul,64771,52636,852
9-Jul,59260,53563,973
10-Jul,66281,54791,826
11-Jul,62918,56316,675
12-Jul,60469,58635,425
13-Jul,58858,60422,337
14-Jul,60971,61945,878
15-Jul,67404,62320,949
